"Star","rs"
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?p ?l ?m
WHERE
  { ?p  rdf:type           dbpo:Person .
    ?l  rdf:type           dbpo:Place .
    ?p  dbprop:birthplace  ?l ;
        dbprop:name        ?m
  }
",155
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  *
WHERE
  { ?p        rdf:type         dbpo:Person ;
              dbpo:influenced  ?influenced .
    ?influenced  rdf:type      dbpo:Person
  }
",8072
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { ?p1  dbprop:birthPlace  dbpr:Madrid .
    ?t   dbpo:league        dbpr:Premier_League .
    ?p   dbprop:team        ?t
  }
",336512
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?object ?objectLabel
WHERE
  { <http://dbpedia.org/resource/Uber_(company)>
              dct:subject  ?object .
    ?object   rdfs:label   ?objectLabel
  }
",9
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?nama
WHERE
  { dbpr:India  dbpo:leader  ?o .
    ?o        dbprop:name  ?nama
  }
",6
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?p ?l ?n
WHERE
  { ?p  rdf:type           dbpo:Person .
    ?l  rdf:type           dbpo:Place .
    ?p  dbprop:birthplace  ?l ;
        dbprop:name        ?m
  }
",155
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?nama
WHERE
  { dbpr:Fiji  dbpo:leader  ?o .
    ?o        dbprop:name  ?nama
  }
",2
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?albumName ?artistName
WHERE
  { ?album   dbpo:producer       dbpr:Timbaland ;
             dbpo:musicalArtist  ?artist ;
             rdfs:label          ?albumName .
    ?artist  rdfs:label          ?artistName
  }
",4822
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?nama
WHERE
  { dbpr:Indonesia
              dbpo:leader  ?o .
    ?o        dbprop:name  ?nama
  }
",2
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?x
WHERE
  { ?x  rdf:type  dbpo:TelevisionShow .
    ?y  rdf:type  dbpo:TelevisionStation .
    ?x  ?p1       ?y ;
        ?p2       dbpr:Neil_Patrick_Harris
  }
",4
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:TableTennisPlayer
  }
",4
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  url:  <http://schema.org/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     url:MusicGroup
  }
",124
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?object ?objectLabel
WHERE
  { dbpr:ADO.NET_data_provider
              dct:subject  ?object .
    ?object   rdfs:label   ?objectLabel
  }
",4
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  cat:  <http://dbpedia.org/resource/Category:>

SELECT  ?broaderConcept ?preferredLabel
WHERE
  { cat:Computer_hardware_companies
              skos:broader    ?broaderConcept .
    ?broaderConcept
              skos:prefLabel  ?preferredLabel
  }
",4
"PREFIX  wde:  <http://www.wikidata.org/entity/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     wde:Q41176
  }
",6
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:Monarch
  }
",2
"PREFIX  xsd:  <http://www.w3.org/2001/XMLSchema#>
PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  bif:  <bif:>

SELECT  ?uri ?txt
WHERE
  { ?uri  rdfs:label    ?txt .
    ?txt  bif:contains  ""Tourism""
  }
",2192
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     dbpo:MartialArtist
  }
",17
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  url:  <http://schema.org/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  ?object
WHERE
  { ?s       dbprop:name  ?object .
    ?object  rdf:type     url:Movie
  }
",18
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?object ?objectLabel
WHERE
  { dbpr:Lyft  dct:subject  ?object .
    ?object   rdfs:label   ?objectLabel
  }
",4
"PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  ?m ?n
WHERE
  { ?m   dbpo:spouse  ?n ;
         dbpo:parent  ?p1 .
    ?n   dbpo:parent  ?p2 .
    ?p1  dbpo:parent  ?p .
    ?p2  dbpo:parent  ?p
  }
",790
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { ?t  dbpo:position  dbpr:Premier_League .
    ?p  dbprop:team    ?t
  }
",502
"PREFIX  :     <http://dbpedia.org/resource/>
PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  d:    <http://dbpedia.org/ontology/>

SELECT  ?artistName ?albumName
WHERE
  { ?album   d:producer       :Timbaland ;
             d:musicalArtist  ?artist ;
             rdfs:label       ?albumName .
    ?artist  rdfs:label       ?artistName
  }
",4822
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?object ?objectLabel
WHERE
  { dbpr:Microsoft_SQL_Server
              dct:subject  ?object .
    ?object   rdfs:label   ?objectLabel
  }
",4
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  ?writer
WHERE
  { ?writer   rdf:type          dbpo:Writer .
    ?literature  dbpo:predecessor  ?writer
  }
",42
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  ?writer
WHERE
  { ?writer   rdf:type    dbpo:Writer .
    ?literature  dbpo:award  ?writer
  }
",65
"PREFIX  rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?object ?objectLabel
WHERE
  { dbpr:OpenLink_Software
              dct:subject  ?object .
    ?object   rdfs:label   ?objectLabel
  }
",3
"PREFIX  dbpo: <http://dbpedia.org/ontology/>
PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { ?p  dbprop:team  ?t .
    ?t  dbpo:league  dbpr:Premier_League
  }
",478
"PREFIX  dbpr: <http://dbpedia.org/resource/>
PREFIX  dbprop: <http://dbpedia.org/property/>

SELECT  *
WHERE
  { ?p  dbprop:team    ?t .
    ?t  dbprop:league  dbpr:Premier_League
  }
",478
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  *
WHERE
  { ?influenced  rdf:type        dbpo:Person .
    ?influencer  rdf:type        dbpo:Person .
    ?influenced  dbpo:influencedBy  ?influencer
  }
",18434
"PREFIX  xsd:  <http://www.w3.org/2001/XMLSchema#>
PREFIX  foaf: <http://xmlns.com/foaf/0.1/>
PREFIX  bif:  <bif:>

SELECT  ?artist
WHERE
  { ?artist  foaf:name     ?name .
    ?name    bif:contains  ""\""Frank Sinatra\""""
  }
",35
"PREFIX  rdf:  <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX  dbpo: <http://dbpedia.org/ontology/>

SELECT  *
WHERE
  { ?p        rdf:type         dbpo:Person .
    ?influenced  rdf:type      dbpo:Person .
    ?p        dbpo:influenced  ?influenced
  }
",8072
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Sharafat_Gayi_Tel_Lene
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",10
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Mistress_America
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",36
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Hamari_Adhuri_Kahani
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",16
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { <http://dbpedia.org/resource/It's_Tomorrow_-_The_Film>
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",28
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Mississippi_Grind
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",47
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Hedda_Gabler
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",15
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Neil_Cole
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",20
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Annu_Kapoor
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",31
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Pulan_Visaranai_2
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",19
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Edgar_Allan_Poe_in_television_and_film
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",11
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:The_Timber
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",22
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Second_Origin
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",21
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Kaaki_Sattai
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",21
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Paz_de_la_Huerta
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",40
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Bandipotu
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",9
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Under_Electric_Clouds
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",15
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Dirty_Grandpa
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",25
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Agnee_2  dct:subject  ?o .
    ?o        skos:broader  ?o1
  }
",27
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Isai  dct:subject  ?o .
    ?o        skos:broader  ?o1
  }
",23
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Pesarattu
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",4
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Robyn_Kershaw
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",3
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Stanley_Weber
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",17
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Than_Than_Gopal
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",9
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Attila_Pacsay
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",13
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Dil_Dhadakne_Do
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",24
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Broken_Horses
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",34
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Beyond_Skyline
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",32
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Harbinger_Down
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",27
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:The_Unbearable_Lightness_of_Inspector_Fan
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",35
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Road_Hard
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",13
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Buddy_Hutchins
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",13
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Hot_Tub_Time_Machine_2
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",35
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Yagavarayinum_Naa_Kaakka
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",14
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Aa_Te_Kevi_Dunniya
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",20
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Mellisai
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",15
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Daddy_or_Mommy
              dct:subject   ?o .
    ?o        skos:broader  ?o1
  }
",15
"PREFIX  skos: <http://www.w3.org/2004/02/skos/core#>
PREFIX  dct:  <http://purl.org/dc/terms/>
PREFIX  dbpr: <http://dbpedia.org/resource/>

SELECT  ?o1
WHERE
  { dbpr:Yoogan  dct:subject  ?o .
    ?o        skos:broader  ?o1
  }
",10
